id,name,score
5310,Macross F Movie 1: Itsuwari no Utahime,7.78
7222,Macross F Movie 2: Sayonara no Tsubasa,7.94
9041,IS: Infinite Stratos,6.62
10447,Aquarion Evol,7.08
10794,IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,6.83
14237,Busou Shinki,6.30
14355,Yama no Susume,6.83
16011,Tokyo Ravens,7.42
16614,Busou Shinki: Install x Dream,6.53
17341,Yama no Susume: Kabe tte Kowakunai no?,6.73
17729,Grisaia no Kajitsu,7.48
17901,All Alone With You,7.21
18247,IS: Infinite Stratos 2,6.46
19151,Walkure Romanze,6.30
20045,IS: Infinite Stratos 2 - Hitonatsu no Omoide,6.86
21435,Yama no Susume Second Season,7.55
21653,IS: Infinite Stratos 2 - World Purge-hen,6.85
25397,Absolute Duo,6.42
27887,Yama no Susume Second Season Specials,6.85
29093,Grisaia no Meikyuu: Caprice no Mayu 0,7.83
29095,Grisaia no Rakuen,7.75
29101,Grisaia no Kajitsu Specials,6.90
31318,Comet Lucifer,5.83
31324,Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!,7.22
31368,Grisaia no Rakuen Specials,7.03
31716,Rewrite,6.65
32175,Shounen Maid,7.28
32900,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,7.46
33242,IS: Infinite Stratos 2 - Infinite Wedding,6.37
33491,"Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?",7.13
34104,Knight's & Magic,7.07
34126,Rewrite 2nd Season,7.18
35672,Yama no Susume Third Season,7.59
35673,Yama no Susume: Omoide Present,7.38
35828,Miira no Kaikata,7.46
37430,Tensei shitara Slime Datta Ken,8.14
37890,Oshi ga Budoukan Ittekuretara Shinu,7.43
37972,Hoshiai no Sora,7.59
38793,Tensei shitara Slime Datta Ken OVA,7.49
39551,Tensei shitara Slime Datta Ken 2nd Season,8.38
39607,Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki,6.73
40394,Zenonzard The Animation Episode 0,6.55
40497,Mahouka Koukou no Rettousei: Raihousha-hen,7.28
40940,Zenonzard The Animation,5.91
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.33
41488,Tensura Nikki: Tensei shitara Slime Datta Ken,7.59
45753,Tensei shitara Slime Datta Ken: Kanwa - Hinata Sakaguchi,6.77
48375,Mahouka Koukou no Rettousei: Tsuioku-hen,7.70
48491,Yama no Susume: Next Summit,7.63
49318,Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,7.15
49596,Blue Lock,8.29
49877,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,7.64
50097,Mahouka Koukou no Rettousei 10-shuunen Kinen PV,6.42
50713,Mahouka Koukou no Rettousei (Zoku-hen),N/A
51309,Sukuwareru Ramiris,6.52
53026,Synduality: Noir,6.75
53237,Shy,6.78
53410,Yuru Campâ–³ Season 3,N/A
53580,Tensei shitara Slime Datta Ken 3rd Season,N/A
54565,Tensei shitara Slime Datta Ken: Coleus no Yume,7.64
54866,Blue Lock: Episode Nagi,N/A
56731,Synduality: Noir Part 2,N/A
